md5hash,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum
f23937e86de55c3471ac5d0143b67e08,4,4,nematode infection,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans88.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlarvamigranslarvamigrans88jpg.jpg
59ccb668671950ca657b6bc48213b763,4,4,pityriasis rosea,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea6.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisroseapityriasisrosea6jpg.jpg
27778fee07afbc98a74b0012ba6f76ff,4,4,urticaria,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria31.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermographicurticariadermographicurticaria31jpg.jpg
dab1abcb214f3e1cf7b509fa75972eb7,4,4,mycosis fungoides,malignant cutaneous lymphoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide99.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmycosisfongoidemycosisfongoide99jpg.jpg
d6dfb47fe3c00e624af51b3548b8ee5e,4,4,granuloma pyogenic,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum10.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomapyogenicumgranulomapyogenicum10jpg.jpg
a7432cf3e4faf44ab58bcb093fb6a3bd,4,4,pilar cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/eyelid_dermoid/eyelid_dermoid2.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeyeliddermoideyeliddermoid2jpg.jpg
af7a076b9992ff39499951a9479c78d5,4,4,milia,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria44.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmiliariamiliaria44jpg.jpg
7d2f3fa05f4f362299c1ed148e7fc719,4,4,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic16.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanusactiniclichenplanusactinic16jpg.jpg
f03b5f7dab096ea793749f2efccf40e8,4,4,lupus subacute,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/systemic-lupus-erythematosus/systemic-lupus-erythematosus54.jpg,httpwwwdermaamincomsiteimagesclinicalpicssystemiclupuserythematosussystemiclupuserythematosus54jpg.jpg
c068909d0bea4def8a4e249893df1cdd,4,4,nematode infection,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/cutaneous_larva_migrans/cutaneous_larva_migrans16.jpg,httpwwwdermaamincomsiteimagesclinicalpicccutaneouslarvamigranscutaneouslarvamigrans16jpg.jpg
567e34fda94c9f3b8741c3cc725f5003,4,4,photodermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_prurigo/actinic_prurigo9.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinicprurigoactinicprurigo9jpg.jpg
a41a9e740d9edcd99b35cc174fa81ea0,4,4,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis_confluent_reticulated/papillomatosis_confluent_reticulated28.jpg,httpwwwdermaamincomsiteimagesclinicalpicppapillomatosisconfluentreticulatedpapillomatosisconfluentreticulated28jpg.jpg
3c51c4031263c4fabc496dc1bcad04ff,4,4,keloid,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/k/kekoid/kekoid15.jpg,httpwwwdermaamincomsiteimagesclinicalpickkekoidkekoid15jpg.jpg
2bd76012d2e130dad25ab694f1e4a957,4,4,hailey hailey disease,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hailey_hailey_disease/hailey_hailey_disease1.jpg,httpwwwdermaamincomsiteimagesclinicalpichhaileyhaileydiseasehaileyhaileydisease1jpg.jpg
a51640213be4c550f316af2ef17b1db9,4,4,hidradenitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa24.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa24jpg.jpg
bc3c00ce4c75db31029f4aa4c439a907,4,4,urticaria,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria19.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermographicurticariadermographicurticaria19jpg.jpg
b49167a6dc0765eaf78cfaf714ec81a8,4,4,necrobiosis lipoidica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum25.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum25jpg.jpg
6fd7ab66c3fae6ec708d373480a78068,4,4,folliculitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pseudofolliculitis-barbae/pseudofolliculitis-barbae15.jpg,httpwwwdermaamincomsiteimagesclinicalpicppseudofolliculitisbarbaepseudofolliculitisbarbae15jpg.jpg
01c4ab30191acfe035bd672da451283a,4,4,keratosis pilaris,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris24.jpg,httpwwwdermaamincomsiteimagesclinicalpickkeratosispilariskeratosispilaris24jpg.jpg
545f0e8a6125523973e200172976448a,4,4,kaposi sarcoma,malignant dermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma99.jpg,httpwwwdermaamincomsiteimagesclinicalpickkaposissarcomakaposissarcoma99jpg.jpg
348184c47809818cc70465ab0d230167,4,4,urticaria pigmentosa,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa23.jpg,httpwwwdermaamincomsiteimagesclinicalpicuurticariapigmentosaurticariapigmentosa23jpg.jpg
b387e11eee8d3854faf25638ccf394c4,4,4,lupus erythematosus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_discoides/lupus_erythematosus_chronicus_discoides24.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosuschronicusdiscoideslupuserythematosuschronicusdiscoides24jpg.jpg
3fe779be3f6f829a6f5679c664b93545,4,4,tick bite,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/flea_bites/flea_bites5.jpg,httpwwwdermaamincomsiteimagesclinicalpicffleabitesfleabites5jpg.jpg
5421f47e70ba9636a17cc4a50b5f9efe,4,4,fixed eruptions,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption50.jpg,httpwwwdermaamincomsiteimagesclinicalpicffixeddrugeruptionfixeddrugeruption50jpg.jpg
b3e0b70610c2fa203fa6f50fdda29f41,4,4,vitiligo,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo112.jpg,httpwwwdermaamincomsiteimagesclinicalpicvvitiligovitiligo112jpg.jpg
4b4dbba61edbda8a8d68e7c66c55414f,4,4,becker nevus,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus18.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbeckersnevusbeckersnevus18jpg.jpg
cd1a1dd1a2d91630e873d53b9277827d,4,4,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus/lichen_planus24.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanuslichenplanus24jpg.jpg
8963a41497895baf186a0d5c00d13f5c,4,4,scleroderma,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/m/morphea/morphea5.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmorpheamorphea5jpg.jpg
e467bbde67515560a0a30197f95597f6,4,4,pityriasis rosea,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea99.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisroseapityriasisrosea99jpg.jpg
76e1be9e5567c08aaa548a7f0efc2e00,4,4,necrobiosis lipoidica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum36.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum36jpg.jpg
32d3215207ef763e22bbe62c38a60ecb,4,4,erythema multiforme,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme135.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemamultiformeerythemamultiforme135jpg.jpg
1808ccf71a5d5458561a9cbf28b25339,4,4,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis28.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrhusdermatitisrhusdermatitis28jpg.jpg
4e333938f399962f23d3fbdd81a6d41b,4,4,porphyria,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda42.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda42jpg.jpg
d4d64bbba78a41e794d18f50490fdb0e,4,4,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare126.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare126jpg.jpg
22c44b647b4b1d9a110cb159b1674183,4,4,becker nevus,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus30.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbeckersnevusbeckersnevus30jpg.jpg
c6121b050183d8415ee64cafccd0baa1,4,4,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/contact_dermatitis/contact_dermatitis88.jpg,httpwwwdermaamincomsiteimagesclinicalpicccontactdermatitiscontactdermatitis88jpg.jpg
9bb52aaefeabcaf052c403da15efb8cb,4,4,acanthosis nigricans,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/m/malignant-acanthosis-nigricans/malignant-acanthosis-nigricans2.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmalignantacanthosisnigricansmalignantacanthosisnigricans2jpg.jpg
acefdc0d7e018239835b17494315dc05,4,4,dermatomyositis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis142.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatomyositisdermatomyositis142jpg.jpg
b77dbc8320fad972ba6be08e8baba6f6,4,4,fixed eruptions,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption86.jpg,httpwwwdermaamincomsiteimagesclinicalpicffixeddrugeruptionfixeddrugeruption86jpg.jpg
e2be43bc039ae4aa3b020a1a8fc53ffb,4,4,scabies,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies73.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnorwegianscabiesnorwegianscabies73jpg.jpg
24a3b6755cd1a7ba8184e6e558f628ac,4,4,tick bite,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dog_bite/dog_bite1.jpg,httpwwwdermaamincomsiteimagesclinicalpicddogbitedogbite1jpg.jpg
ccd53f1e32fc82a22fbabb832ac5c073,4,4,sarcoidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le79.jpg,httpwwwdermaamincomsiteimagesclinicalpicddiscoidlediscoidle79jpg.jpg
69568fbb5f210c22cc07d54a578dfffe,4,4,squamous cell carcinoma,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/squamous-cell-carcinoma/squamous-cell-carcinoma23.jpg,httpwwwdermaamincomsiteimagesclinicalpicssquamouscellcarcinomasquamouscellcarcinoma23jpg.jpg
81b1de28d20ff30dc11219e507612608,4,4,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare68.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare68jpg.jpg
a2a7f1a18d69491b1a7c77f4f85670d4,4,4,vitiligo,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo29.jpg,httpwwwdermaamincomsiteimagesclinicalpicvvitiligovitiligo29jpg.jpg
1e3947e35a705843429a47848fe29eb6,4,4,lupus erythematosus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_systemic/lupus_erythematosus_systemic18.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosussystemiclupuserythematosussystemic18jpg.jpg
31d4c74bcc7c4f450d4e1939aff2b3e7,4,4,neurotic excoriations,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/excoriations_uraemic/excoriations_uraemic2.jpg,httpwwwdermaamincomsiteimagesclinicalpiceexcoriationsuraemicexcoriationsuraemic2jpg.jpg
ad2973614470d0f10c8a56294ab282b8,4,4,naevus comedonicus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/naevus_comedonicus/naevus_comedonicus7.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnaevuscomedonicusnaevuscomedonicus7jpg.jpg
79db3a46c21c55e4d2d7e4cddc66bfa1,4,4,urticaria pigmentosa,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa24.jpg,httpwwwdermaamincomsiteimagesclinicalpicuurticariapigmentosaurticariapigmentosa24jpg.jpg
fb61f1f927bb8cea5b1ac66f35f00355,4,4,scleromyxedema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/scleromyxedema/scleromyxedema43.jpg,httpwwwdermaamincomsiteimagesclinicalpicsscleromyxedemascleromyxedema43jpg.jpg
d76068082e91885ede568365b72529c4,4,4,sarcoidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis/sarcoidosis49.jpg,httpwwwdermaamincomsiteimagesclinicalpicssarcoidosissarcoidosis49jpg.jpg
32170ab2f1f4d5c27197f9b08f1dda4d,4,4,juvenile xanthogranuloma,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiotic-xanthogranuloma/necrobiotic-xanthogranuloma1.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioticxanthogranulomanecrobioticxanthogranuloma1jpg.jpg
11dd4dd6707ac9ddbe55cd462a9ff7c4,4,4,fixed eruptions,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption22.jpg,httpwwwdermaamincomsiteimagesclinicalpicffixeddrugeruptionfixeddrugeruption22jpg.jpg
9d6d8fccfd0a283071a3d29053037be3,4,4,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate4.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisguttatepsoriasisguttate4jpg.jpg
153ea8ba01e0653180797aede9b720ee,4,4,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis25.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis25jpg.jpg
eb1704c253110d241cbeaf581e66efaf,4,4,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis_confluent_reticulated/papillomatosis_confluent_reticulated37.jpg,httpwwwdermaamincomsiteimagesclinicalpicppapillomatosisconfluentreticulatedpapillomatosisconfluentreticulated37jpg.jpg
6e1984f562128aeecc2e88316623fd77,4,4,syringoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma22.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma22jpg.jpg
dd4d9f687fad950bf8cf1c6dda839db3,4,4,stevens johnson syndrome,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome64.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstephenjohnsonsyndromestephenjohnsonsyndrome64jpg.jpg
cd096e1c19f34f43d9737f73d6b46687,4,4,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic29.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanusactiniclichenplanusactinic29jpg.jpg
06fce53b79b05c19c2d2c8114f280fd1,4,4,prurigo nodularis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis60.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis60jpg.jpg
1ddf767ff2d71c221ef7fd27efc2d319,4,4,lichen amyloidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen-amyloidosis/lichen-amyloidosis36.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenamyloidosislichenamyloidosis36jpg.jpg
